name,date,price,pre_price_1,pre_price_2,pre_price_3,pre_price_4,pre_price_5,pre_price_6,pre_price_7,pre_price_8,pre_price_9,pre_price_10,pre_price_11,pre_price_12,pre_price_13,pre_price_14,pre_price_15,pre_price_16,pre_price_17,pre_price_18,pre_price_19,pre_price_20,pre_price_21,pre_price_22,pre_price_23,pre_price_24,pre_price_25,pre_price_26,pre_price_27,pre_price_28,pre_price_29,pre_price_30,pre_price_31,pre_price_32,pre_price_33,pre_price_34,pre_price_35,pre_price_36,pre_price_37,pre_price_38,pre_price_39,pre_price_40,pre_price_41,pre_price_42,pre_price_43,pre_price_44,pre_price_45,pre_price_46,pre_price_47,pre_price_48,pre_price_49,pre_price_50,pre_price_51,pre_price_52,pre_price_53,pre_price_54,pre_price_55,pre_price_56,pre_price_57,pre_price_58,pre_price_59,pre_price_60,pre_price_61,pre_price_62,pre_price_63,pre_price_64,pre_price_65,pre_price_66,pre_price_67,pre_price_68,pre_price_69,pre_price_70,pre_price_71,pre_price_72,pre_price_73,pre_price_74,pre_price_75,pre_price_76,pre_price_77,pre_price_78,pre_price_79,pre_price_80,pre_price_81,pre_price_82,pre_price_83,pre_price_84,pre_price_85,pre_price_86,pre_price_87,pre_price_88,pre_price_89,pre_price_90,pre_price_91,pre_price_92,pre_price_93,pre_price_94,pre_price_95,pre_price_96,pre_price_97,pre_price_98,pre_price_99,pre_price_100
矮脚白菜,2018/05/20,2.7,3.8,4.0,4.0,4.1,3.9,4.0,4.1,4.0,4.1,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8
矮脚白菜,2018/05/21,2.7,4.0,4.0,4.1,3.9,4.0,4.1,4.0,4.1,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7
矮脚白菜,2018/05/22,2.6,4.0,4.1,3.9,4.0,4.1,4.0,4.1,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7
矮脚白菜,2018/05/23,2.7,4.1,3.9,4.0,4.1,4.0,4.1,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6
矮脚白菜,2018/05/24,2.8,3.9,4.0,4.1,4.0,4.1,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7
矮脚白菜,2018/05/25,2.6,4.0,4.1,4.0,4.1,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8
矮脚白菜,2018/05/26,2.7,4.1,4.0,4.1,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6
矮脚白菜,2018/05/27,2.8,4.0,4.1,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7
矮脚白菜,2018/05/28,2.7,4.1,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8
矮脚白菜,2018/05/29,2.6,4.2,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7
矮脚白菜,2018/05/30,2.7,4.1,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6
矮脚白菜,2018/05/31,2.6,4.2,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7
矮脚白菜,2018/06/01,2.4,4.1,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6
矮脚白菜,2018/06/02,2.3,3.8,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4
矮脚白菜,2018/06/03,2.4,3.7,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3
矮脚白菜,2018/06/04,2.4,4.0,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4
矮脚白菜,2018/06/05,2.5,3.9,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4
矮脚白菜,2018/06/06,2.4,4.0,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5
矮脚白菜,2018/06/07,2.5,3.9,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4
矮脚白菜,2018/06/08,2.5,3.8,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5
矮脚白菜,2018/06/09,2.6,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5
矮脚白菜,2018/06/10,2.7,3.8,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6
矮脚白菜,2018/06/12,2.7,3.6,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6,2.7
矮脚白菜,2018/06/13,2.8,3.5,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6,2.7,2.7
矮脚白菜,2018/06/14,2.4,3.4,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6,2.7,2.7,2.8
矮脚白菜,2018/06/15,2.5,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.4
矮脚白菜,2018/06/16,2.6,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.4,2.5
矮脚白菜,2018/06/17,2.6,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.4,2.5,2.6
矮脚白菜,2018/06/18,2.5,3.3,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.4,2.5,2.6,2.6
矮脚白菜,2018/06/19,2.6,3.3,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.4,2.5,2.6,2.6,2.5
矮脚白菜,2018/06/20,2.6,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.5,2.6,2.8,2.6,2.7,2.6,2.7,2.7,2.8,2.8,3.0,2.8,2.9,2.85,2.9,2.85,2.7,2.8,2.7,2.8,2.7,2.7,2.6,2.7,2.8,2.6,2.7,2.8,2.7,2.6,2.7,2.6,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.4,2.5,2.6,2.6,2.5,2.6
